this is log msg 0 Fri Nov  9 13:26:11 2018 
this is log msg 2903 Fri Nov  9 13:31:10 2018 
this is log msg 2904 Fri Nov  9 13:31:10 2018 
this is log msg 2905 Fri Nov  9 13:31:10 2018 
this is log msg 2906 Fri Nov  9 13:31:11 2018 
this is log msg 2907 Fri Nov  9 13:31:11 2018 
this is log msg 2908 Fri Nov  9 13:31:11 2018 
this is log msg 2909 Fri Nov  9 13:31:11 2018 
this is log msg 2910 Fri Nov  9 13:31:11 2018 
this is log msg 2911 Fri Nov  9 13:31:11 2018 
this is log msg 2912 Fri Nov  9 13:31:11 2018 
this is log msg 2913 Fri Nov  9 13:31:11 2018 
this is log msg 2914 Fri Nov  9 13:31:11 2018 
this is log msg 2915 Fri Nov  9 13:31:12 2018 
this is log msg 2916 Fri Nov  9 13:31:12 2018 
this is log msg 2917 Fri Nov  9 13:31:12 2018 
this is log msg 2918 Fri Nov  9 13:31:12 2018 
this is log msg 2919 Fri Nov  9 13:31:12 2018 
this is log msg 2920 Fri Nov  9 13:31:12 2018 
this is log msg 2921 Fri Nov  9 13:31:12 2018 
this is log msg 2922 Fri Nov  9 13:31:12 2018 
this is log msg 2923 Fri Nov  9 13:31:12 2018 
this is log msg 2924 Fri Nov  9 13:31:12 2018 
this is log msg 2925 Fri Nov  9 13:31:13 2018 
this is log msg 2926 Fri Nov  9 13:31:13 2018 
this is log msg 2927 Fri Nov  9 13:31:13 2018 
this is log msg 2928 Fri Nov  9 13:31:13 2018 
this is log msg 2929 Fri Nov  9 13:31:13 2018 
this is log msg 2930 Fri Nov  9 13:31:13 2018 
this is log msg 2931 Fri Nov  9 13:31:13 2018 
this is log msg 2932 Fri Nov  9 13:31:13 2018 
this is log msg 2933 Fri Nov  9 13:31:13 2018 
this is log msg 2934 Fri Nov  9 13:31:13 2018 
this is log msg 2935 Fri Nov  9 13:31:14 2018 
this is log msg 2936 Fri Nov  9 13:31:14 2018 
this is log msg 2937 Fri Nov  9 13:31:14 2018 
this is log msg 2938 Fri Nov  9 13:31:14 2018 
this is log msg 2939 Fri Nov  9 13:31:14 2018 
this is log msg 2940 Fri Nov  9 13:31:14 2018 
this is log msg 2941 Fri Nov  9 13:31:14 2018 
this is log msg 2942 Fri Nov  9 13:31:14 2018 
this is log msg 2943 Fri Nov  9 13:31:14 2018 
this is log msg 2944 Fri Nov  9 13:31:15 2018 
this is log msg 2945 Fri Nov  9 13:31:15 2018 
this is log msg 2946 Fri Nov  9 13:31:15 2018 
this is log msg 2947 Fri Nov  9 13:31:15 2018 
this is log msg 2948 Fri Nov  9 13:31:15 2018 
this is log msg 2949 Fri Nov  9 13:31:15 2018 
this is log msg 2950 Fri Nov  9 13:31:15 2018 
this is log msg 2951 Fri Nov  9 13:31:15 2018 
this is log msg 2952 Fri Nov  9 13:31:15 2018 
this is log msg 2953 Fri Nov  9 13:31:15 2018 
this is log msg 2954 Fri Nov  9 13:31:16 2018 
this is log msg 2955 Fri Nov  9 13:31:16 2018 
this is log msg 2956 Fri Nov  9 13:31:16 2018 
this is log msg 2957 Fri Nov  9 13:31:16 2018 
this is log msg 2958 Fri Nov  9 13:31:16 2018 
this is log msg 2959 Fri Nov  9 13:31:16 2018 
this is log msg 2960 Fri Nov  9 13:31:16 2018 
this is log msg 2961 Fri Nov  9 13:31:16 2018 
this is log msg 2962 Fri Nov  9 13:31:16 2018 
this is log msg 2963 Fri Nov  9 13:31:16 2018 
this is log msg 2964 Fri Nov  9 13:31:17 2018 
this is log msg 2965 Fri Nov  9 13:31:17 2018 
this is log msg 2966 Fri Nov  9 13:31:17 2018 
this is log msg 2967 Fri Nov  9 13:31:17 2018 
this is log msg 2968 Fri Nov  9 13:31:17 2018 
this is log msg 2969 Fri Nov  9 13:31:17 2018 
this is log msg 2970 Fri Nov  9 13:31:17 2018 
this is log msg 2971 Fri Nov  9 13:31:17 2018 
this is log msg 2972 Fri Nov  9 13:31:17 2018 
this is log msg 2973 Fri Nov  9 13:31:18 2018 
this is log msg 2974 Fri Nov  9 13:31:18 2018 
this is log msg 2975 Fri Nov  9 13:31:18 2018 
this is log msg 2976 Fri Nov  9 13:31:18 2018 
this is log msg 2977 Fri Nov  9 13:31:18 2018 
this is log msg 2978 Fri Nov  9 13:31:18 2018 
this is log msg 2979 Fri Nov  9 13:31:18 2018 
this is log msg 2980 Fri Nov  9 13:31:18 2018 
this is log msg 2981 Fri Nov  9 13:31:18 2018 
this is log msg 2982 Fri Nov  9 13:31:18 2018 
this is log msg 2983 Fri Nov  9 13:31:19 2018 
this is log msg 2984 Fri Nov  9 13:31:19 2018 
this is log msg 2985 Fri Nov  9 13:31:19 2018 
this is log msg 2986 Fri Nov  9 13:31:19 2018 
this is log msg 2987 Fri Nov  9 13:31:19 2018 
this is log msg 2988 Fri Nov  9 13:31:19 2018 
this is log msg 2989 Fri Nov  9 13:31:19 2018 
this is log msg 2990 Fri Nov  9 13:31:19 2018 
this is log msg 2991 Fri Nov  9 13:31:19 2018 
this is log msg 2992 Fri Nov  9 13:31:19 2018 
this is log msg 2993 Fri Nov  9 13:31:20 2018 
this is log msg 2994 Fri Nov  9 13:31:20 2018 
this is log msg 2995 Fri Nov  9 13:31:20 2018 
this is log msg 2996 Fri Nov  9 13:31:20 2018 
this is log msg 2997 Fri Nov  9 13:31:20 2018 
this is log msg 2998 Fri Nov  9 13:31:20 2018 
this is log msg 2999 Fri Nov  9 13:31:20 2018 
this is log msg 3000 Fri Nov  9 13:31:20 2018 
this is log msg 3001 Fri Nov  9 13:31:20 2018 
this is log msg 3002 Fri Nov  9 13:31:21 2018 
this is log msg 3003 Fri Nov  9 13:31:21 2018 
this is log msg 3004 Fri Nov  9 13:31:21 2018 
this is log msg 3005 Fri Nov  9 13:31:21 2018 
this is log msg 3006 Fri Nov  9 13:31:21 2018 
this is log msg 3007 Fri Nov  9 13:31:21 2018 
this is log msg 3008 Fri Nov  9 13:31:21 2018 
this is log msg 3009 Fri Nov  9 13:31:21 2018 
this is log msg 3010 Fri Nov  9 13:31:21 2018 
this is log msg 3011 Fri Nov  9 13:31:21 2018 
this is log msg 3012 Fri Nov  9 13:31:22 2018 
this is log msg 3013 Fri Nov  9 13:31:22 2018 
this is log msg 3014 Fri Nov  9 13:31:22 2018 
this is log msg 3015 Fri Nov  9 13:31:22 2018 
this is log msg 3016 Fri Nov  9 13:31:22 2018 
this is log msg 3017 Fri Nov  9 13:31:22 2018 
this is log msg 3018 Fri Nov  9 13:31:22 2018 
this is log msg 3019 Fri Nov  9 13:31:22 2018 
this is log msg 3020 Fri Nov  9 13:31:22 2018 
this is log msg 3021 Fri Nov  9 13:31:22 2018 
this is log msg 3022 Fri Nov  9 13:31:23 2018 
this is log msg 3023 Fri Nov  9 13:31:23 2018 
this is log msg 3024 Fri Nov  9 13:31:23 2018 
this is log msg 3025 Fri Nov  9 13:31:23 2018 
this is log msg 3026 Fri Nov  9 13:31:23 2018 
this is log msg 3027 Fri Nov  9 13:31:23 2018 
this is log msg 3028 Fri Nov  9 13:31:23 2018 
this is log msg 3029 Fri Nov  9 13:31:23 2018 
this is log msg 3030 Fri Nov  9 13:31:23 2018 
this is log msg 3031 Fri Nov  9 13:31:24 2018 
this is log msg 3032 Fri Nov  9 13:31:24 2018 
this is log msg 3033 Fri Nov  9 13:31:24 2018 
this is log msg 3034 Fri Nov  9 13:31:24 2018 
this is log msg 3035 Fri Nov  9 13:31:24 2018 
this is log msg 3036 Fri Nov  9 13:31:24 2018 
this is log msg 3037 Fri Nov  9 13:31:24 2018 
this is log msg 3038 Fri Nov  9 13:31:24 2018 
this is log msg 3039 Fri Nov  9 13:31:24 2018 
this is log msg 3040 Fri Nov  9 13:31:24 2018 
this is log msg 3041 Fri Nov  9 13:31:25 2018 
this is log msg 3042 Fri Nov  9 13:31:25 2018 
this is log msg 3043 Fri Nov  9 13:31:25 2018 
this is log msg 3044 Fri Nov  9 13:31:25 2018 
this is log msg 3045 Fri Nov  9 13:31:25 2018 
this is log msg 3046 Fri Nov  9 13:31:25 2018 
this is log msg 3047 Fri Nov  9 13:31:25 2018 
this is log msg 3048 Fri Nov  9 13:31:25 2018 
this is log msg 3049 Fri Nov  9 13:31:25 2018 
this is log msg 3050 Fri Nov  9 13:31:25 2018 
this is log msg 3051 Fri Nov  9 13:31:26 2018 
this is log msg 3052 Fri Nov  9 13:31:26 2018 
this is log msg 3053 Fri Nov  9 13:31:26 2018 
this is log msg 3054 Fri Nov  9 13:31:26 2018 
this is log msg 3055 Fri Nov  9 13:31:26 2018 
this is log msg 3056 Fri Nov  9 13:31:26 2018 
this is log msg 3057 Fri Nov  9 13:31:26 2018 
this is log msg 3058 Fri Nov  9 13:31:26 2018 
this is log msg 3059 Fri Nov  9 13:31:26 2018 
this is log msg 3060 Fri Nov  9 13:31:27 2018 
this is log msg 3061 Fri Nov  9 13:31:27 2018 
this is log msg 3062 Fri Nov  9 13:31:27 2018 
this is log msg 3063 Fri Nov  9 13:31:27 2018 
this is log msg 3064 Fri Nov  9 13:31:27 2018 
this is log msg 3065 Fri Nov  9 13:31:27 2018 
this is log msg 3066 Fri Nov  9 13:31:27 2018 
this is log msg 3067 Fri Nov  9 13:31:27 2018 
this is log msg 3068 Fri Nov  9 13:31:27 2018 
this is log msg 3069 Fri Nov  9 13:31:27 2018 
this is log msg 3070 Fri Nov  9 13:31:28 2018 
this is log msg 3071 Fri Nov  9 13:31:28 2018 
this is log msg 3072 Fri Nov  9 13:31:28 2018 
this is log msg 3073 Fri Nov  9 13:31:28 2018 
this is log msg 3074 Fri Nov  9 13:31:28 2018 
this is log msg 3075 Fri Nov  9 13:31:28 2018 
this is log msg 3076 Fri Nov  9 13:31:28 2018 
this is log msg 3077 Fri Nov  9 13:31:28 2018 
this is log msg 3078 Fri Nov  9 13:31:28 2018 
this is log msg 3079 Fri Nov  9 13:31:28 2018 
this is log msg 3080 Fri Nov  9 13:31:29 2018 
this is log msg 3081 Fri Nov  9 13:31:29 2018 
this is log msg 3082 Fri Nov  9 13:31:29 2018 
this is log msg 3083 Fri Nov  9 13:31:29 2018 
this is log msg 3084 Fri Nov  9 13:31:29 2018 
this is log msg 3085 Fri Nov  9 13:31:29 2018 
this is log msg 3086 Fri Nov  9 13:31:29 2018 
this is log msg 3087 Fri Nov  9 13:31:29 2018 
this is log msg 3088 Fri Nov  9 13:31:29 2018 
this is log msg 3089 Fri Nov  9 13:31:30 2018 
this is log msg 3090 Fri Nov  9 13:31:30 2018 
this is log msg 3091 Fri Nov  9 13:31:30 2018 
this is log msg 3092 Fri Nov  9 13:31:30 2018 
this is log msg 3093 Fri Nov  9 13:31:30 2018 
this is log msg 3094 Fri Nov  9 13:31:30 2018 
this is log msg 3095 Fri Nov  9 13:31:30 2018 
this is log msg 3096 Fri Nov  9 13:31:30 2018 
this is log msg 3097 Fri Nov  9 13:31:30 2018 
this is log msg 3098 Fri Nov  9 13:31:30 2018 
this is log msg 3099 Fri Nov  9 13:31:31 2018 
this is log msg 3100 Fri Nov  9 13:31:31 2018 
this is log msg 3101 Fri Nov  9 13:31:31 2018 
this is log msg 3102 Fri Nov  9 13:31:31 2018 
this is log msg 3103 Fri Nov  9 13:31:31 2018 
this is log msg 3104 Fri Nov  9 13:31:31 2018 
this is log msg 3105 Fri Nov  9 13:31:31 2018 
this is log msg 3106 Fri Nov  9 13:31:31 2018 
this is log msg 3107 Fri Nov  9 13:31:31 2018 
this is log msg 3108 Fri Nov  9 13:31:31 2018 
this is log msg 3109 Fri Nov  9 13:31:32 2018 
this is log msg 3110 Fri Nov  9 13:31:32 2018 
this is log msg 3111 Fri Nov  9 13:31:32 2018 
this is log msg 3112 Fri Nov  9 13:31:32 2018 
this is log msg 3113 Fri Nov  9 13:31:32 2018 
this is log msg 3114 Fri Nov  9 13:31:32 2018 
this is log msg 3115 Fri Nov  9 13:31:32 2018 
this is log msg 3116 Fri Nov  9 13:31:32 2018 
this is log msg 3117 Fri Nov  9 13:31:32 2018 
this is log msg 3118 Fri Nov  9 13:31:33 2018 
this is log msg 3119 Fri Nov  9 13:31:33 2018 
this is log msg 3120 Fri Nov  9 13:31:33 2018 
this is log msg 3121 Fri Nov  9 13:31:33 2018 
this is log msg 3122 Fri Nov  9 13:31:33 2018 
this is log msg 3123 Fri Nov  9 13:31:33 2018 
this is log msg 3124 Fri Nov  9 13:31:33 2018 
this is log msg 3125 Fri Nov  9 13:31:33 2018 
this is log msg 3126 Fri Nov  9 13:31:33 2018 
this is log msg 3127 Fri Nov  9 13:31:33 2018 
this is log msg 3128 Fri Nov  9 13:31:34 2018 
this is log msg 3129 Fri Nov  9 13:31:34 2018 
this is log msg 3130 Fri Nov  9 13:31:34 2018 
this is log msg 3131 Fri Nov  9 13:31:34 2018 
this is log msg 3132 Fri Nov  9 13:31:34 2018 
this is log msg 3133 Fri Nov  9 13:31:34 2018 
this is log msg 3134 Fri Nov  9 13:31:34 2018 
this is log msg 3135 Fri Nov  9 13:31:34 2018 
this is log msg 3136 Fri Nov  9 13:31:34 2018 
this is log msg 3137 Fri Nov  9 13:31:34 2018 
this is log msg 3138 Fri Nov  9 13:31:35 2018 
this is log msg 3139 Fri Nov  9 13:31:35 2018 
this is log msg 3140 Fri Nov  9 13:31:35 2018 
this is log msg 3141 Fri Nov  9 13:31:35 2018 
this is log msg 3142 Fri Nov  9 13:31:35 2018 
this is log msg 3143 Fri Nov  9 13:31:35 2018 
this is log msg 3144 Fri Nov  9 13:31:35 2018 
this is log msg 3145 Fri Nov  9 13:31:35 2018 
this is log msg 3146 Fri Nov  9 13:31:35 2018 
this is log msg 3147 Fri Nov  9 13:31:35 2018 
this is log msg 3148 Fri Nov  9 13:31:36 2018 
this is log msg 3149 Fri Nov  9 13:31:36 2018 
this is log msg 3150 Fri Nov  9 13:31:36 2018 
this is log msg 3151 Fri Nov  9 13:31:36 2018 
this is log msg 3152 Fri Nov  9 13:31:36 2018 
this is log msg 3153 Fri Nov  9 13:31:36 2018 
this is log msg 3154 Fri Nov  9 13:31:36 2018 
this is log msg 3155 Fri Nov  9 13:31:36 2018 
this is log msg 3156 Fri Nov  9 13:31:36 2018 
this is log msg 3157 Fri Nov  9 13:31:37 2018 
this is log msg 3158 Fri Nov  9 13:31:37 2018 
this is log msg 3159 Fri Nov  9 13:31:37 2018 
this is log msg 3160 Fri Nov  9 13:31:37 2018 
this is log msg 3161 Fri Nov  9 13:31:37 2018 
this is log msg 3162 Fri Nov  9 13:31:37 2018 
this is log msg 3163 Fri Nov  9 13:31:37 2018 
this is log msg 3164 Fri Nov  9 13:31:37 2018 
this is log msg 3165 Fri Nov  9 13:31:37 2018 
this is log msg 3166 Fri Nov  9 13:31:37 2018 
this is log msg 3167 Fri Nov  9 13:31:38 2018 
this is log msg 3168 Fri Nov  9 13:31:38 2018 
this is log msg 3169 Fri Nov  9 13:31:38 2018 
this is log msg 3170 Fri Nov  9 13:31:38 2018 
this is log msg 3171 Fri Nov  9 13:31:38 2018 
this is log msg 3172 Fri Nov  9 13:31:38 2018 
this is log msg 3173 Fri Nov  9 13:31:38 2018 
this is log msg 3174 Fri Nov  9 13:31:38 2018 
this is log msg 3175 Fri Nov  9 13:31:38 2018 
this is log msg 3176 Fri Nov  9 13:31:38 2018 
this is log msg 3177 Fri Nov  9 13:31:39 2018 
this is log msg 3178 Fri Nov  9 13:31:39 2018 
this is log msg 3179 Fri Nov  9 13:31:39 2018 
this is log msg 3180 Fri Nov  9 13:31:39 2018 
this is log msg 3181 Fri Nov  9 13:31:39 2018 
this is log msg 3182 Fri Nov  9 13:31:39 2018 
this is log msg 3183 Fri Nov  9 13:31:39 2018 
this is log msg 3184 Fri Nov  9 13:31:39 2018 
this is log msg 3185 Fri Nov  9 13:31:39 2018 
this is log msg 3186 Fri Nov  9 13:31:40 2018 
this is log msg 3187 Fri Nov  9 13:31:40 2018 
this is log msg 3188 Fri Nov  9 13:31:40 2018 
this is log msg 3189 Fri Nov  9 13:31:40 2018 
this is log msg 3190 Fri Nov  9 13:31:40 2018 
this is log msg 3191 Fri Nov  9 13:31:40 2018 
this is log msg 3192 Fri Nov  9 13:31:40 2018 
this is log msg 3193 Fri Nov  9 13:31:40 2018 
this is log msg 3194 Fri Nov  9 13:31:40 2018 
this is log msg 3195 Fri Nov  9 13:31:40 2018 
this is log msg 3196 Fri Nov  9 13:31:41 2018 
this is log msg 3197 Fri Nov  9 13:31:41 2018 
this is log msg 3198 Fri Nov  9 13:31:41 2018 
this is log msg 3199 Fri Nov  9 13:31:41 2018 
this is log msg 3200 Fri Nov  9 13:31:41 2018 
this is log msg 3201 Fri Nov  9 13:31:41 2018 
this is log msg 3202 Fri Nov  9 13:31:41 2018 
this is log msg 3203 Fri Nov  9 13:31:41 2018 
this is log msg 3204 Fri Nov  9 13:31:41 2018 
this is log msg 3205 Fri Nov  9 13:31:41 2018 
this is log msg 3206 Fri Nov  9 13:31:42 2018 
this is log msg 3207 Fri Nov  9 13:31:42 2018 
this is log msg 3208 Fri Nov  9 13:31:42 2018 
this is log msg 3209 Fri Nov  9 13:31:42 2018 
this is log msg 3210 Fri Nov  9 13:31:42 2018 
this is log msg 3211 Fri Nov  9 13:31:42 2018 
this is log msg 3212 Fri Nov  9 13:31:42 2018 
this is log msg 3213 Fri Nov  9 13:31:42 2018 
this is log msg 3214 Fri Nov  9 13:31:42 2018 
this is log msg 3215 Fri Nov  9 13:31:43 2018 
this is log msg 3216 Fri Nov  9 13:31:43 2018 
this is log msg 3217 Fri Nov  9 13:31:43 2018 
this is log msg 3218 Fri Nov  9 13:31:43 2018 
this is log msg 3219 Fri Nov  9 13:31:43 2018 
this is log msg 3220 Fri Nov  9 13:31:43 2018 
this is log msg 3221 Fri Nov  9 13:31:43 2018 
this is log msg 3222 Fri Nov  9 13:31:43 2018 
this is log msg 3223 Fri Nov  9 13:31:43 2018 
this is log msg 3224 Fri Nov  9 13:31:43 2018 
this is log msg 3225 Fri Nov  9 13:31:44 2018 
this is log msg 3226 Fri Nov  9 13:31:44 2018 
this is log msg 3227 Fri Nov  9 13:31:44 2018 
this is log msg 3228 Fri Nov  9 13:31:44 2018 
this is log msg 3229 Fri Nov  9 13:31:44 2018 
this is log msg 3230 Fri Nov  9 13:31:44 2018 
this is log msg 3231 Fri Nov  9 13:31:44 2018 
this is log msg 3232 Fri Nov  9 13:31:44 2018 
this is log msg 3233 Fri Nov  9 13:31:44 2018 
this is log msg 3234 Fri Nov  9 13:31:45 2018 
this is log msg 3235 Fri Nov  9 13:31:45 2018 
this is log msg 3236 Fri Nov  9 13:31:45 2018 
this is log msg 3237 Fri Nov  9 13:31:45 2018 
this is log msg 3238 Fri Nov  9 13:31:45 2018 
this is log msg 3239 Fri Nov  9 13:31:45 2018 
this is log msg 3240 Fri Nov  9 13:31:45 2018 
this is log msg 3241 Fri Nov  9 13:31:45 2018 
this is log msg 3242 Fri Nov  9 13:31:45 2018 
this is log msg 3243 Fri Nov  9 13:31:45 2018 
this is log msg 3244 Fri Nov  9 13:31:46 2018 
this is log msg 3245 Fri Nov  9 13:31:46 2018 
this is log msg 3246 Fri Nov  9 13:31:46 2018 
this is log msg 3247 Fri Nov  9 13:31:46 2018 
this is log msg 3248 Fri Nov  9 13:31:46 2018 
this is log msg 3249 Fri Nov  9 13:31:46 2018 
this is log msg 3250 Fri Nov  9 13:31:46 2018 
this is log msg 3251 Fri Nov  9 13:31:46 2018 
this is log msg 3252 Fri Nov  9 13:31:46 2018 
this is log msg 3253 Fri Nov  9 13:31:46 2018 
this is log msg 3254 Fri Nov  9 13:31:47 2018 
this is log msg 3255 Fri Nov  9 13:31:47 2018 
this is log msg 3256 Fri Nov  9 13:31:47 2018 
this is log msg 3257 Fri Nov  9 13:31:47 2018 
this is log msg 3258 Fri Nov  9 13:31:47 2018 
this is log msg 3259 Fri Nov  9 13:31:47 2018 
this is log msg 3260 Fri Nov  9 13:31:47 2018 
this is log msg 3261 Fri Nov  9 13:31:47 2018 
this is log msg 3262 Fri Nov  9 13:31:47 2018 
this is log msg 3263 Fri Nov  9 13:31:47 2018 
this is log msg 3264 Fri Nov  9 13:31:48 2018 
this is log msg 3265 Fri Nov  9 13:31:48 2018 
this is log msg 3266 Fri Nov  9 13:31:48 2018 
this is log msg 3267 Fri Nov  9 13:31:48 2018 
this is log msg 3268 Fri Nov  9 13:31:48 2018 
this is log msg 3269 Fri Nov  9 13:31:48 2018 
this is log msg 3270 Fri Nov  9 13:31:48 2018 
this is log msg 3271 Fri Nov  9 13:31:48 2018 
this is log msg 3272 Fri Nov  9 13:31:48 2018 
this is log msg 3273 Fri Nov  9 13:31:49 2018 
this is log msg 3274 Fri Nov  9 13:31:49 2018 
this is log msg 3275 Fri Nov  9 13:31:49 2018 
this is log msg 3276 Fri Nov  9 13:31:49 2018 
this is log msg 3277 Fri Nov  9 13:31:49 2018 
this is log msg 3278 Fri Nov  9 13:31:49 2018 
this is log msg 3279 Fri Nov  9 13:31:49 2018 
this is log msg 3280 Fri Nov  9 13:31:49 2018 
this is log msg 3281 Fri Nov  9 13:31:49 2018 
this is log msg 3282 Fri Nov  9 13:31:49 2018 
this is log msg 3283 Fri Nov  9 13:31:50 2018 
this is log msg 3284 Fri Nov  9 13:31:50 2018 
this is log msg 3285 Fri Nov  9 13:31:50 2018 
this is log msg 3286 Fri Nov  9 13:31:50 2018 
this is log msg 3287 Fri Nov  9 13:31:50 2018 
this is log msg 3288 Fri Nov  9 13:31:50 2018 
this is log msg 3289 Fri Nov  9 13:31:50 2018 
this is log msg 3290 Fri Nov  9 13:31:50 2018 
this is log msg 3291 Fri Nov  9 13:31:50 2018 
this is log msg 3292 Fri Nov  9 13:31:50 2018 
this is log msg 3293 Fri Nov  9 13:31:51 2018 
this is log msg 3294 Fri Nov  9 13:31:51 2018 
this is log msg 3295 Fri Nov  9 13:31:51 2018 
this is log msg 3296 Fri Nov  9 13:31:51 2018 
this is log msg 3297 Fri Nov  9 13:31:51 2018 
this is log msg 3298 Fri Nov  9 13:31:51 2018 
this is log msg 3299 Fri Nov  9 13:31:51 2018 
this is log msg 3300 Fri Nov  9 13:31:51 2018 
this is log msg 3301 Fri Nov  9 13:31:51 2018 
this is log msg 3302 Fri Nov  9 13:31:52 2018 
this is log msg 3303 Fri Nov  9 13:31:52 2018 
this is log msg 3304 Fri Nov  9 13:31:52 2018 
this is log msg 3305 Fri Nov  9 13:31:52 2018 
this is log msg 3306 Fri Nov  9 13:31:52 2018 
this is log msg 3307 Fri Nov  9 13:31:52 2018 
this is log msg 3308 Fri Nov  9 13:31:52 2018 
this is log msg 3309 Fri Nov  9 13:31:52 2018 
this is log msg 3310 Fri Nov  9 13:31:52 2018 
this is log msg 3311 Fri Nov  9 13:31:52 2018 
this is log msg 3312 Fri Nov  9 13:31:53 2018 
this is log msg 3313 Fri Nov  9 13:31:53 2018 
this is log msg 3314 Fri Nov  9 13:31:53 2018 
this is log msg 3315 Fri Nov  9 13:31:53 2018 
this is log msg 3316 Fri Nov  9 13:31:53 2018 
this is log msg 3317 Fri Nov  9 13:31:53 2018 
this is log msg 3318 Fri Nov  9 13:31:53 2018 
this is log msg 3319 Fri Nov  9 13:31:53 2018 
this is log msg 3320 Fri Nov  9 13:31:53 2018 
this is log msg 3321 Fri Nov  9 13:31:53 2018 
this is log msg 3322 Fri Nov  9 13:31:54 2018 
this is log msg 3323 Fri Nov  9 13:31:54 2018 
this is log msg 3324 Fri Nov  9 13:31:54 2018 
this is log msg 3325 Fri Nov  9 13:31:54 2018 
this is log msg 3326 Fri Nov  9 13:31:54 2018 
this is log msg 3327 Fri Nov  9 13:31:54 2018 
this is log msg 3328 Fri Nov  9 13:31:54 2018 
this is log msg 3329 Fri Nov  9 13:31:54 2018 
this is log msg 3330 Fri Nov  9 13:31:54 2018 
this is log msg 3331 Fri Nov  9 13:31:55 2018 
this is log msg 3332 Fri Nov  9 13:31:55 2018 
this is log msg 3333 Fri Nov  9 13:31:55 2018 
this is log msg 3334 Fri Nov  9 13:31:55 2018 
this is log msg 3335 Fri Nov  9 13:31:55 2018 
this is log msg 3336 Fri Nov  9 13:31:55 2018 
this is log msg 3337 Fri Nov  9 13:31:55 2018 
this is log msg 3338 Fri Nov  9 13:31:55 2018 
this is log msg 3339 Fri Nov  9 13:31:55 2018 
this is log msg 3340 Fri Nov  9 13:31:55 2018 
this is log msg 3341 Fri Nov  9 13:31:56 2018 
this is log msg 3342 Fri Nov  9 13:31:56 2018 
this is log msg 3343 Fri Nov  9 13:31:56 2018 
this is log msg 3344 Fri Nov  9 13:31:56 2018 
this is log msg 3345 Fri Nov  9 13:31:56 2018 
this is log msg 3346 Fri Nov  9 13:31:56 2018 
this is log msg 3347 Fri Nov  9 13:31:56 2018 
this is log msg 3348 Fri Nov  9 13:31:56 2018 
this is log msg 3349 Fri Nov  9 13:31:56 2018 
this is log msg 3350 Fri Nov  9 13:31:56 2018 
this is log msg 3351 Fri Nov  9 13:31:57 2018 
this is log msg 3352 Fri Nov  9 13:31:57 2018 
this is log msg 3353 Fri Nov  9 13:31:57 2018 
this is log msg 3354 Fri Nov  9 13:31:57 2018 
this is log msg 3355 Fri Nov  9 13:31:57 2018 
this is log msg 3356 Fri Nov  9 13:31:57 2018 
this is log msg 3357 Fri Nov  9 13:31:57 2018 
this is log msg 3358 Fri Nov  9 13:31:57 2018 
this is log msg 3359 Fri Nov  9 13:31:57 2018 
this is log msg 3360 Fri Nov  9 13:31:58 2018 
this is log msg 3361 Fri Nov  9 13:31:58 2018 
this is log msg 3362 Fri Nov  9 13:31:58 2018 
this is log msg 3363 Fri Nov  9 13:31:58 2018 
this is log msg 3364 Fri Nov  9 13:31:58 2018 
this is log msg 3365 Fri Nov  9 13:31:58 2018 
this is log msg 3366 Fri Nov  9 13:31:58 2018 
this is log msg 3367 Fri Nov  9 13:31:58 2018 
this is log msg 3368 Fri Nov  9 13:31:58 2018 
this is log msg 3369 Fri Nov  9 13:31:58 2018 
this is log msg 3370 Fri Nov  9 13:31:59 2018 
this is log msg 3371 Fri Nov  9 13:31:59 2018 
this is log msg 3372 Fri Nov  9 13:31:59 2018 
this is log msg 3373 Fri Nov  9 13:31:59 2018 
this is log msg 3374 Fri Nov  9 13:31:59 2018 
this is log msg 3375 Fri Nov  9 13:31:59 2018 
this is log msg 3376 Fri Nov  9 13:31:59 2018 
this is log msg 3377 Fri Nov  9 13:31:59 2018 
this is log msg 3378 Fri Nov  9 13:31:59 2018 
this is log msg 3379 Fri Nov  9 13:31:59 2018 
this is log msg 3380 Fri Nov  9 13:32:00 2018 
this is log msg 3381 Fri Nov  9 13:32:00 2018 
this is log msg 3382 Fri Nov  9 13:32:00 2018 
this is log msg 3383 Fri Nov  9 13:32:00 2018 
this is log msg 3384 Fri Nov  9 13:32:00 2018 
this is log msg 3385 Fri Nov  9 13:32:00 2018 
this is log msg 3386 Fri Nov  9 13:32:00 2018 
this is log msg 3387 Fri Nov  9 13:32:00 2018 
this is log msg 3388 Fri Nov  9 13:32:00 2018 
this is log msg 3389 Fri Nov  9 13:32:00 2018 
this is log msg 3390 Fri Nov  9 13:32:01 2018 
this is log msg 3391 Fri Nov  9 13:32:01 2018 
this is log msg 3392 Fri Nov  9 13:32:01 2018 
this is log msg 3393 Fri Nov  9 13:32:01 2018 
this is log msg 3394 Fri Nov  9 13:32:01 2018 
this is log msg 3395 Fri Nov  9 13:32:01 2018 
this is log msg 3396 Fri Nov  9 13:32:01 2018 
this is log msg 3397 Fri Nov  9 13:32:01 2018 
this is log msg 3398 Fri Nov  9 13:32:01 2018 
this is log msg 3399 Fri Nov  9 13:32:02 2018 
this is log msg 3400 Fri Nov  9 13:32:02 2018 
this is log msg 3401 Fri Nov  9 13:32:02 2018 
